PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,InGroup,Deck,Side,CabinPosition,TotalSpent,RoomService_used,RoomService_big_spender,FoodCourt_used,FoodCourt_big_spender,ShoppingMall_used,ShoppingMall_big_spender,Spa_used,Spa_big_spender,VRDeck_used,VRDeck_big_spender,TotalSpent_big_spender
0015_01,Earth,0,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,0,1,0,F,P,Front,638.0,0,0,1,0,0,0,0,0,1,1,0
0016_01,Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0017_01,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0017_02,Earth,0,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,0,2,1,F,P,Front,1092.0,1,1,0,0,1,0,0,0,1,1,0
0020_01,Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0020_02,Earth,1,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0020_03,Earth,1,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0020_04,Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0020_05,Earth,1,PSO J318.5-22,1.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0020_06,Earth,0,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0022_01,Mars,0,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,0,1,0,D,P,Front,1051.0,1,1,1,0,1,0,0,0,0,0,0
0024_01,Europa,1,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,C,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0025_01,Earth,0,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,0,1,0,F,S,Front,1223.0,0,0,1,1,0,0,1,1,0,0,0
0026_01,Europa,0,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,0,1,0,C,P,Front,7861.0,1,0,1,1,0,0,1,1,1,1,1
0028_01,Mars,0,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,0,1,0,F,P,Front,1309.0,1,1,0,0,1,1,1,0,0,0,0
0030_01,Earth,0,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,0,1,0,G,S,Front,1821.0,0,0,1,1,1,1,1,1,1,1,0
0031_01,Mars,0,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,1,3,1,F,P,Front,2854.0,1,1,0,0,1,1,0,0,1,1,0
0031_02,Mars,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0031_03,Mars,0,TRAPPIST-1e,20.0,0,1780.0,0.0,1750.0,990.0,0.0,1,3,1,F,P,Front,4520.0,1,1,0,0,1,1,1,1,0,0,1
0034_01,Europa,1,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,D,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0035_01,Mars,0,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,0,1,0,D,P,Front,2699.0,1,1,1,1,0,0,1,1,0,0,0
0036_01,Earth,0,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,0,1,0,F,S,Front,961.0,0,0,1,1,1,0,1,0,1,1,0
0038_01,Earth,0,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,0,1,0,F,S,Front,3355.0,1,1,1,0,0,0,1,1,0,0,0
0039_01,Earth,1,55 Cancri e,30.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0041_01,Earth,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0043_01,Europa,0,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,0,1,0,B,P,Front,3575.0,0,0,1,0,1,0,1,1,1,1,0
0044_01,Earth,1,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,0,3,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0044_02,Earth,1,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0044_03,Earth,1,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0045_01,Mars,0,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,0,2,1,F,P,Front,1214.0,1,1,0,0,1,1,0,0,1,0,0
0045_02,Mars,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0050_01,Earth,0,55 Cancri e,35.0,0,790.0,0.0,0.0,0.0,0.0,0,1,0,E,S,Front,790.0,1,1,0,0,0,0,0,0,0,0,0
0051_01,Earth,0,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,0,1,0,E,S,Front,1618.0,0,0,1,0,0,0,1,1,1,1,0
0052_01,Earth,0,TRAPPIST-1e,33.0,0,4.0,0.0,2.0,4683.0,0.0,0,1,0,G,S,Front,4689.0,1,0,0,0,1,0,1,1,0,0,1
0053_01,Earth,0,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,1,1,0,F,S,Front,1939.0,0,0,0,0,1,1,0,0,1,0,0
0056_01,Europa,0,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,A,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0056_02,Europa,1,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,A,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0056_03,Europa,0,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,1,3,1,A,S,Front,4547.0,1,1,1,1,1,1,1,1,1,0,1
0058_01,Earth,1,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0061_01,Earth,0,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,0,1,0,F,S,Front,2667.0,1,0,1,1,1,1,1,1,1,0,0
0062_01,Earth,0,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,0,1,0,F,S,Front,634.0,0,0,1,1,0,0,1,0,1,0,0
0064_01,Mars,1,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,F,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0064_02,Mars,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0066_01,Earth,0,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,0,1,0,G,P,Front,811.0,1,0,1,0,1,1,0,0,1,1,0
0067_01,Earth,1,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0067_02,Earth,0,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,1,3,1,G,S,Front,705.0,1,0,1,1,1,1,0,0,0,0,0
0067_03,Earth,0,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,0,3,1,F,S,Front,2007.0,1,1,1,0,0,0,0,0,1,0,0
0068_01,Mars,0,TRAPPIST-1e,22.6,0,793.0,0.0,2.0,253.0,0.0,0,1,0,E,S,Front,1048.0,1,1,0,0,1,0,1,1,0,0,0
0069_01,Earth,0,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,1,1,0,F,S,Front,902.0,1,1,0,0,1,0,1,0,0,0,0
0070_01,Earth,0,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,0,1,0,F,P,Front,922.0,1,1,0,0,1,0,1,0,1,1,0
0071_01,Earth,0,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,0,1,0,F,P,Front,2233.0,1,0,1,1,0,0,0,0,1,0,0
0072_01,Earth,0,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,0,1,0,F,S,Front,1064.0,0,0,1,0,0,0,0,0,1,1,0
0073_01,Mars,0,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,0,1,0,D,P,Front,879.0,1,0,1,0,1,1,0,0,1,0,0
0074_01,Europa,0,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,1,1,0,C,S,Front,8904.0,1,0,1,1,0,0,0,0,1,1,1
0076_01,Mars,0,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,1,1,0,F,S,Front,1165.0,1,1,0,0,1,1,0,0,0,0,0
0077_01,Mars,0,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,1,1,0,F,P,Front,1309.0,1,0,0,0,1,1,0,0,0,0,0
0078_01,Europa,0,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0,0,1,0,C,S,Front,15815.0,0,0,1,1,0,0,1,1,1,1,1
0081_01,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0082_01,Mars,0,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,0,3,1,F,P,Front,7406.0,1,1,0,0,0,0,0,0,0,0,1
0082_02,Mars,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0082_03,Mars,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0084_01,Earth,0,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,1,1,0,G,S,Front,705.0,1,1,0,0,0,0,0,0,1,0,0
0085_01,Europa,1,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,C,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0086_01,Earth,0,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0,0,1,0,F,P,Front,1362.0,1,1,0,0,0,0,1,1,1,1,0
0088_01,Mars,1,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0090_01,Earth,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0091_01,Earth,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0091_02,Earth,0,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0,0,2,1,F,S,Front,917.0,1,0,1,1,1,0,1,1,0,0,0
0092_01,Earth,0,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0,0,3,1,G,P,Front,705.0,0,0,0,0,1,1,1,0,1,0,0
0092_02,Earth,1,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0092_03,Earth,1,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0097_01,Europa,0,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,0,1,0,A,S,Front,1848.0,0,0,1,1,0,0,1,0,1,1,0
0098_01,Earth,0,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,0,2,1,G,P,Front,893.0,0,0,1,1,1,0,1,0,0,0,0
0098_02,Earth,0,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,1,2,1,G,P,Front,3855.0,0,0,1,1,1,1,0,0,1,0,1
0099_01,Earth,0,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,0,2,1,F,P,Front,1301.0,1,1,1,1,1,1,1,0,0,0,0
0099_02,Earth,1,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0101_01,Mars,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,S,Second,0.0,0,0,0,0,0,0,0,0,0,0,0
0102_01,Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,0,1,0,F,S,Front,921.0,0,0,0,0,0,0,1,1,1,0,0
0103_01,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,17.0,1,3,1,F,S,Front,17.0,0,0,0,0,0,0,0,0,1,0,0
0103_02,Earth,1,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0103_03,Earth,1,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,0,3,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0105_01,Earth,0,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,0,1,0,F,P,Front,703.0,0,0,0,0,1,1,1,0,1,1,0
0107_01,Mars,0,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,0,1,0,D,S,Front,1765.0,1,1,1,0,1,0,0,0,0,0,0
0108_01,Earth,1,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,0,3,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0108_02,Earth,0,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,0,3,1,G,S,Front,888.0,1,1,0,0,1,1,0,0,0,0,0
0108_03,Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0110_01,Europa,0,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,0,4,1,A,P,Front,5109.0,0,0,1,1,1,0,1,1,1,1,1
0110_02,Europa,1,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,0,4,1,B,P,Front,2018.0,0,0,1,1,0,0,0,0,1,1,0
0110_03,Europa,0,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,1,4,1,B,P,Front,15940.0,1,1,1,1,0,0,1,1,1,1,1
0110_04,Europa,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,1,4,1,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0111_01,Europa,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,E,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0112_01,Europa,0,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,1,1,0,B,S,Front,2654.0,0,0,1,1,1,1,1,0,1,0,0
0113_01,Earth,0,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,1,1,0,F,P,Front,804.0,0,0,0,0,1,1,0,0,0,0,0
0114_01,Earth,0,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,0,1,0,G,S,Front,907.0,1,0,1,0,1,1,1,1,1,0,0
0115_01,Mars,0,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0116_01,Europa,0,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,1,1,0,D,P,Front,2640.0,1,0,1,1,0,0,1,0,1,1,0
0119_01,Europa,0,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0,0,2,1,A,P,Front,9307.0,0,0,1,1,0,0,1,0,1,1,1
0119_02,Europa,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,A,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0120_01,Mars,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0122_01,Earth,0,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,0,1,0,G,S,Front,773.0,0,0,0,0,0,0,1,1,1,0,0
0123_01,Earth,0,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,0,1,0,F,P,Front,702.0,1,0,1,1,1,0,0,0,1,0,0
0126_01,Mars,1,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0127_01,Mars,0,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,0,1,0,E,S,Front,1022.0,1,1,0,0,1,1,0,0,1,0,0
0128_01,Mars,0,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,0,2,1,D,S,Front,3014.0,1,1,1,1,1,0,1,1,1,0,0
0128_02,Mars,0,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,0,2,1,E,S,Front,2109.0,1,1,1,0,0,0,0,0,0,0,0
0129_01,Earth,1,PSO J318.5-22,22.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0133_01,Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,F,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0133_02,Mars,0,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,0,2,1,D,S,Front,2738.0,1,1,0,0,0,0,0,0,0,0,0
0134_01,Earth,0,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,1,1,0,G,P,Front,744.0,0,0,1,0,1,1,0,0,0,0,0
0136_01,Earth,0,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,0,1,0,G,S,Front,721.0,1,0,1,1,1,1,1,0,1,0,0
0138_01,Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0138_02,Earth,0,TRAPPIST-1e,34.0,0,0.0,22.0,0.0,564.0,207.0,0,2,1,E,P,Front,793.0,0,0,1,0,0,0,1,1,1,1,0
0139_01,Europa,1,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,C,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0140_01,Earth,1,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0140_02,Earth,0,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,0,2,1,F,P,Front,902.0,1,1,0,0,0,0,0,0,1,1,0
0141_01,Mars,0,TRAPPIST-1e,31.0,0,200.4,0.0,97.0,0.0,0.0,0,1,0,F,P,Front,297.4,1,1,0,0,1,1,0,0,0,0,0
0144_01,Earth,0,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,1,1,0,F,S,Front,630.0,0,0,1,1,1,1,0,0,0,0,0
0146_01,Earth,0,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0147_01,Earth,1,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0148_01,Mars,0,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0,0,1,0,F,P,Front,1158.0,1,1,0,0,1,0,0,0,1,0,0
0149_01,Earth,1,55 Cancri e,34.2,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0151_01,Earth,1,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0152_01,Earth,0,TRAPPIST-1e,41.0,0,0.0,0.0,0.0,0.0,607.0,0,1,0,F,P,Front,607.0,0,0,0,0,0,0,0,0,1,1,0
0160_01,Earth,0,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,0,1,0,G,P,Front,4180.0,1,1,0,0,0,0,0,0,1,0,1
0163_01,Europa,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0163_02,Europa,1,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,B,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0164_01,Earth,0,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,1408.6,135.0,1,2,1,G,S,Front,3281.6,1,0,1,1,0,0,1,1,1,1,0
0164_02,Earth,1,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0165_01,Mars,1,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,F,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0167_01,Mars,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,F,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0167_02,Mars,0,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,0,2,1,F,S,Front,1572.0,1,1,0,0,1,0,1,0,1,1,0
0169_01,Earth,1,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0170_01,Earth,0,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,0,1,0,E,S,Front,788.0,0,0,0,0,0,0,1,1,1,1,0
0171_01,Earth,1,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,S,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0172_01,Earth,1,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,G,P,Front,0.0,0,0,0,0,0,0,0,0,0,0,0
0173_01,Earth,0,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,1,1,0,E,S,Front,990.0,0,0,1,1,0,0,1,0,0,0,0
0174_01,Earth,0,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,0,1,0,F,P,Front,593.0,1,1,0,0,1,0,1,0,1,1,0
0177_01,Europa,0,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,0,1,0,B,S,Front,27428.0,0,0,1,1,1,0,1,1,1,1,1
